PROIEL	Checked	LASLA	POS	Info	Code	Texte	Var	Occs	Formes
resuscito	y	resuscito	VER	, as, aui, atum, are				7	resuscitauit, resuscitans, resuscitet, resuscitabo, resuscitem
saluifico	y	saluifico	VER	, as, aui, atum, are	1			2	saluificem, saluifica
saluo	y	saluo	VER	, as, aui, atum, are				15	saluabitur, saluare, saluans, saluamini, saluauit, saluati, saluantur, saluaret, saluari, saluetur, salua
sanctifico	y	sanctifico	VER	, as, aui, atum, are				20	sanctificati, sanctificetur, sanctificata, sanctificaret, sanctificarent, sanctificauit, sanctifica, sanctifico, sanctificet, sanctificatus, sanctificatis, sanctificans, sanctificat
scandalizo	y	scandalizo	VER	, as, aui, atum, are				29	scandalizabor, scandalizabantur, scandalizati, scandalizet, scandalizabuntur, scandalizem, scandalizemini, scandalizauerit, scandalizantur, scandalizabimini, scandalizatur, scandalizatus, scandalizat, scandalizemus
secto	y	secto	VER	, as, aui, atum, are				2	sectabantur, sectantes
spicatus	y	spico	VER	, as, aui, atum, are	51		spicatus	1	spicati
subintro	y	subintro	VER	, as, aui, atum, are				1	subintrauit
subnauigo	y	subnauigo	VER	, as, aui, atum, are				1	subnauigauimus
succlamo	y	succlamo	VER	, as, aui, atum, are			subclamo	1	succlamabant
superabundo	y	superabundo	VER	, as, aui, atum, are				3	superabundauit, superabundo
superaedifico	y	superaedifico	VER	, as, aui, atum, are				6	superaedificat, superaedificet, superaedificauit, superaedificati
supererogo	y	supererogo	VER	, as, aui, atum, are				1	supererogaueris
superordino	y	superordino	VER	, as, aui, atum, are				1	superordinat
supersemino	y	supersemino	VER	, as, aui, atum, are				1	superseminauit
tempto	y	tento	VER	, as, aui, atum, are			tempto	34	temptari, temptemini, temptabant, temptabis, temptantes, temptat, temptate, temptemus, temptare, temptans, temptabatur, temptauerit, temptet, temptauit, temptaretur, temptauerunt, temptasti, temptatis, temptabat
thesaurizo	y	thesaurizo	VER	, as, aui, atum, are				6	thesaurizat, thesaurizas, thesaurizate, thesaurizastis, thesaurizare
transfreto	y	transfreto	VER	, as, aui, atum, are				5	transfretauit, transfretantem, transfretassent, transfretemus
transnauigo	y	transnauigo	VER	, as, aui, atum, are			tranavigo	1	transnauigare
transplanto	y	transplanto	VER	, as, aui, atum, are				1	transplantare
trituro	y	trituro	VER	, as, aui, atum, are				2	triturat, trituranti
uilico	y	uillico	VER	, as, aui, atum, are			uilico	1	uilicare
uindemio	y	uindemio	VER	, as, aui, atum, are				3	uindemiant, uindemia, uindemiauit
uiuifico	y	uiuifico	VER	, as, aui, atum, are				12	uiuificabit, uiuificare, uiuificat, uiuificabuntur, uiuificarentur, uiuificantem, uiuificatur
zelo	y	zelo	VER	, as, aui, atum, are				1	zelantes
subditus	y	subdo	VER	, dis, dĭdi, dĭtum, dere, a.			subditus	9	subditi, subditus, subdita, subditos, subditae
odio	y	odi	VER	, disti, disse				1	odient
subintroduco	y	subintroduco	VER	, dūcis, ductum, dūcere, a. 3				1	subintroductos
superinduo	y	superinduo	VER	, dŭis, dŭi, dūtum, dŭere, a.				1	superindui
benedictus	y	benedico	VER	, eis, xi, ctum, cere		bene dico		16	benedictum, benedictus, benedicti, benedicta
beneplaceo	y	beneplaceo	VER	, es, cui, citum, cere				2	beneplacitum, beneplacuerit
circumfulgeo	y	circumfulgeo	VER	, es, ere				4	circumfulsit, circumfulsisse
congaudeo	y	congaudeo	VER	, es, ere, audi, auisus				2	congaudet, congaudent
adimpleo	y	adimpleo	VER	, es, evi, etum, ere				16	adimplebitis, adimpleretur, adimpletur, adimpleo, adimpletum, adimpleuit, adimpleta, adimpleatur, adimplere, adimpleantur
adquiesco	y	acquiesco	VER	, escis, eui, etum, escere			adquiesco	1	adquieui
ualefacio	y	ualefacio	VER	, făcis, fēci, factum, făcere, et				4	ualefaciens, ualefecissemus
abstergo	y	abstergo	VER	, gis, si, sum, gĕre				1	absterget
crucifigo	y	crucifigo	VER	, gis, xi, xum, gere				49	crucifigam, crucifigere, crucifixistis, crucifixum, crucifigetis, crucifigeretur, crucifixerunt, crucifigi, crucifigentes, crucifigerent, crucifigunt, crucifigite, crucifige, crucifixi, crucifixissent, crucifigatur, crucifigendum, crucifixus
reemo	y	redimo	VER	, imis, emi, emptu, uel emtum, imere			reemo	1	redemisti
ingemesco	y	ingemisco	VER	, is, ere			ingemesco	4	ingemescimus, ingemescit, ingemescens
inoboediens	y	inobedio	VER	, is, ere			inoboedio	1	inoboedientes
supereffluo	y	supereffluo	VER	, is, ere				1	supereffluentem
ueteresco	y	ueterasco	VER	, is, ere			ueteresco	1	ueterescunt
neglego	y	negligo	VER	, is, exi (rarum legi), lectum, legere			neglego/neclego	1	neglexerunt
conrumpo	y	corrumpo	VER	, is, i, tum, ere			conrumpo	1	corrupit
superuestio	y	superuestio	VER	, is, ītum, ire	4			1	superuestiri
rugio	y	rugio	VER	, is, iui uel ii, ire	4			1	rugit
consepelio	y	consepelio	VER	, is, iui uel ii, itum, ire	4			1	consepulti
dispertior	y	dispertio	VER	, is, iui uel ii, itum, ire	4		dispartio	3	dispertiatur, dispertitae, dispertitus
gluttio	y	glutio	VER	, is, iui uel ii, itum, ire	4		gluttio	1	gluttientes
ignio	y	ignio	VER	, is, iui uel ii, itum, ire	4			1	ignitum
pertranseo	y	pertranseo	VER	, is, iui uel ii, itum, ire	4			12	pertransiebant, pertransiuit, pertransissent, pertranseuntes, pertransibo, pertransiit, pertransiero, pertransiens, pertransiet, pertransiret, pertransirent
subintroeo	y	subintroeo	VER	, is, iui uel ii, itum, ire	4			2	subintroierunt
oboedio	y	obedio	VER	, is, iui, itum, ire	4		oboedio/obaudio	25	oboediebat, oboediret, oboediens, oboedite, oboeditis, oboedientes, oboedistis, oboedientibus, oboediendum, oboedierunt, oboedit, oboediatis, oboediunt, oboedire
praescio	y	praescio	VER	, is, iui, itum, ire	4			3	praesciit, praesciuit, praescientes
meminisse	y	memini	VER	, isti, isee		Defect.		1	mementote
adnuo	y	annuo	VER	, nuis, nui vel nuui, nutum, nuere			adnuo	4	annuente, annuens, annuerunt, annuit
compatior	y	compatior	VER	, pateris, passus sum, pati		Dep.	conpatior	3	conpatiuntur, conpassi, conpatimur
saepelio	y	sepelio	VER	, pelis, peliui uel pelii, pultum, pelire	4		saepelio	1	sepelierunt
superimpendo	y	superimpendo	VER	, pendis, pensum, pendere, a.			superinpendo	1	superinpendar
obstipesco	y	obstupesco	VER	, pescis, pui, pescere			obstipesco	4	obstipuerunt
refloresco	y	refloresco	VER	, rescis, rui, rescere				1	refloruistis
requaero	y	requiro	VER	, ris, siui uel sii, situm, rere			requaero	1	requisisset
sallio	y	salio	VER	, salis, saliui uel salii, salitum, salire	4	salsum	sallio	3	sallietur
conscindo	y	conscindo	VER	, scindis, scidi, scissum, ere				1	conscissis
disseco	y	disseco	VER	, secas, secui, sectum, secare			dissico	2	dissecabantur
superextendo	y	superextendo	VER	, tendis, tendi, tendere, a. 3.				1	superextendimus
extergo	y	extergo	VER	, terges, tersi, tersum, tergere				2	extergimus, extersit
conuescor	y	conuescor	VER	, uesceris, uesci		Dep.		1	conuescens
unguo	y	ungo	VER	, ungis vel unguis, unxi, unctum, ungere vel unguere			unguo	15	unguebant, unxit, ungue, unguerent, unguebat, unxisti, unguere
inunguo	y	inungo	VER	, ungis, unxi, unctum, ungere			inunguo	1	inungue
coutor	y	coutor	VER	, uteris, uti		Dep.		1	coutuntur
suggillo	y	sugillo	VER	o, as, āvi, ātum, are, a.			suggillo	1	suggillet
adsum	y	assum1	VER					8	aderant, adfuit, adest, adestis, adsumus
exquaero	y	exquiro	VER				exquaero	1	exquisierat
inquam	y	inquio	VER					8	inquit, inquiunt, inquiens
intellego	y	intelligo	VER				intellego	40	intellegunt, intellexerant, intellegebant, intellego, intellegite, intellegimus, intellegit, intellegis, intellegent, intellegitis, intellegetis, intellegens, intellexistis, intellegerent, intellegant, intellegat, intellegentes, intellecta, intellexerunt, intellegere
intinguo	y	intingo	VER				intinguo	5	intinctum, intinguat, intinguit, intinxisset
occidens	y	occido2	VER					3	occidente
